benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
3mm,MEDIUM,sequential,2,32.458,32.474,32.748,0.755,1.40,1.00,100.0,PASS
3mm,MEDIUM,threads_static,2,16.411,16.414,16.431,0.043,2.78,1.98,98.9,PASS
3mm,MEDIUM,threads_dynamic,2,16.388,16.392,16.401,0.030,2.78,1.98,99.0,PASS
3mm,MEDIUM,tiled,2,12.586,12.593,12.607,0.037,3.62,2.58,128.9,PASS
3mm,MEDIUM,blas,2,1.244,1.245,1.269,0.074,36.66,26.09,2609.1,PASS
3mm,MEDIUM,tasks,2,16.473,16.705,16.762,0.297,2.77,1.97,98.5,PASS
