benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
2mm,LARGE,sequential,2,2398.962,2405.782,2406.212,7.355,1.38,1.00,100.0,PASS
2mm,LARGE,threads_static,2,1212.942,1231.211,1225.979,7.909,2.73,1.98,98.9,PASS
2mm,LARGE,threads_dynamic,2,1214.149,1231.283,1227.121,6.760,2.73,1.98,98.8,PASS
2mm,LARGE,tiled,2,1217.199,1217.801,1218.052,0.906,2.72,1.97,98.5,PASS
2mm,LARGE,blas,2,75.946,75.964,75.969,0.029,43.62,31.59,3158.8,PASS
2mm,LARGE,tasks,2,1221.866,1231.012,1229.113,3.638,2.71,1.96,98.2,PASS
