benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
correlation,MEDIUM,sequential,2,7.621,8.432,8.441,0.798,2.17,1.00,100.0,PASS
correlation,MEDIUM,threads,2,1.287,1.341,1.328,0.031,12.85,5.92,296.1,PASS
correlation,MEDIUM,colmajor,2,1.131,1.156,1.202,0.084,14.62,6.74,337.0,PASS
correlation,MEDIUM,tiled,2,0.726,0.770,0.784,0.061,22.76,10.49,524.5,PASS
