benchmark,dataset,strategy,threads,min_ms,median_ms,mean_ms,std_ms,gflops,speedup,efficiency,verified
2mm,EXTRALARGE,sequential,32,36527.025,36728.038,36691.197,76.243,0.73,1.00,100.0,PASS
2mm,EXTRALARGE,threads_static,32,2629.323,2632.002,2632.847,2.707,10.08,13.89,43.4,PASS
2mm,EXTRALARGE,threads_dynamic,32,2629.242,2631.984,2631.920,1.637,10.08,13.89,43.4,PASS
2mm,EXTRALARGE,tiled,32,1069.048,1069.375,1086.608,36.703,24.79,34.17,106.8,PASS
2mm,EXTRALARGE,blas,32,620.169,621.550,621.451,0.490,42.73,58.90,5889.8,PASS
2mm,EXTRALARGE,tasks,32,2630.735,2634.953,2641.556,21.808,10.07,13.88,43.4,PASS
